username,type,name
ATL2001,community,ATL2001
AndreaGiardini,community,Andrea Giardini
AndrewAnnex,community,Dr. Andrew Annex
Bjoern-Rapp,community,Bjørn Lie Rapp
DanSchoppe,community,Dan Schoppe
DeflateAwning,community,DeflateAwning
Firefishy,community,Grant
FischerLGLN,community,Maik Fischer
GeoWill,community,Will Roper
JinIgarashi,community,Jin Igarashi
MarcSkovMadsen,community,Marc Skov Madsen
RaczeQ,community,Kamil Raczycki
RichardScottOZ,community,RichardScottOZ
Skaidus,community,Skaidus
abarciauskas-bgse,core,Aimee Barciauskas
abhemanyus,community,Abhemanyu Sarin
aboydnw,core,Anthony Boyd
agoddard,community,Anthony Goddard
alekzvik,community,Oleksii Vykaliuk
alukach,core,Anthony Lukach
anayeaye,core,Alexandra Kirk
andrewharvey,community,Andrew Harvey
anisbhsl,community,Anish Bhusal
bitner,community,David Bitner
botanical,core,Jennifer Tran
captaincoordinates,community,Tom Christian
catplanck,community,catplanck
ceholden,community,Chris Holden
chris-bateman,community,Chris Bateman
chrisgervang,community,Chris Gervang
ciaransweet,core,Ciaran Sweet
connectwithprakash,community,Prakash Chaudhary
danielsparing,community,Daniel Sparing
davidbrochart,community,David Brochart
dchirst,community,Dan Hirst
dependabot[bot],community,dependabot[bot]
drnextgis,community,Denis Rykov
dvd3v,community,Darell
emmalu,core,Emma Paz
emmanuel-ferdman,community,Emmanuel Ferdman
emmanuelmathot,community,Emmanuel Mathot
eyeNsky,community,jon
f-skold,community,F Skold
fredliporace,community,Frederico Liporace
gadomski,core,Pete Gadomski
gassc,community,Christian Gass
geospatial-jeff,community,Jeff Albrecht
giswqs,community,Qiusheng Wu
guillemc23,community,guillemc23
holgerbach,community,holgerbach
hrodmn,core,Henry Rodman
imanshafiei540,community,Iman Shafiei
ividito,core,Isayah Vidito
j08lue,community,Jonas
jaiindimple,community,Dimple Jain
jasongi,community,Jason Giancono
jcary741,community,Jay Cary
jjfrench,community,Jamison French
jo-chemla,community,Jonathan Chemla
jorisvandenbossche,community,Joris Van den Bossche
jose-lpa,community,José L. Patiño Andrés
jsignell,community,Julia Signell
jthetzel,community,Jeremy T. Hetzel
jtmiclat,community,Jt Miclat
jwardbond,community,jwardbond
jwass,community,Jacob Wasserman
kcarini,core,Kiri
knaaptime,community,eli knaap
kylebarron,core,Kyle Barron
leothomas,core,Leo Thomas
lorenzori,community,lorenzori
mackdelany,community,Mack Delany
manand881,community,Anand Mahesh
maxrjones,core,Max Jones
mfisher87,community,Matt Fisher
mindless-bureaucrat,community,mindless-bureaucrat
moradology,core,Nathan Zimmerman
msfstef,community,Stefanos Mousafeiris
n8sty,community,nate giraldi
naomatheus,core,mattmatt.world
neilsh,community,Neil Halelamien
ofirmakmal,community,Ofir Makmal
oliverroick,community,Oliver Roick
pablo-padua,community,Pablo Padua
pratapvardhan,community,Pratap Vardhan
ranchodeluxe,core,sudobangbang
robert-werner,community,Leonid
robintw,community,Robin Wilson
samn,community,Sam Neubardt
samsammurphy,community,Sam Murphy
sandrahoang686,core,sandrahoang686
scottyhq,community,Scott Henderson
sharkinsspatial,core,Sean Harkins
shawnboltz,community,shawnboltz
shriv,community,shriv
simouel,community,Simon Ouellet
slesaad,core,Slesa Adhikari
smohiudd,core,Saadiq Mohiuddin
stephenkilbourn,core,Stephen Kilbourn
tayden,community,Taylor Denouden
tracetechnical,core,Alex Bush
trenton,community,Trenton Lipscomb
tylere,community,Tyler Erickson
ubi15,community,Enrico Ubaldi
vgeorge,core,Vitor George
vincentsarago,core,Vincent Sarago
wakame1367,community,KotaYuhara
willemarcel,community,Wille Marcel
